 , Colombo/ Colombo, Colombo/ Boralesgamauwa, Colombo/ Dehiwala – Mount Lavinia, Colombo/ Kaduwela, Colombo/ Kesbewa, Colombo/ Kolonnawa, Colombo/ Maharagama, Colombo/ Moratuwa, Colombo/ Avissawella (Seethawakapura), Colombo/Sri Jayawardenapura Kotte, Gampaha/ Gampaha, Gampaha/ Negombo, Gampaha/Katunayaka, Gampaha/Ja-Ela, Gampaha/ Wattala – Mabole, Gampaha/ Minuwangoda, Gampaha/ Peliyagoda, Kalutara/ Kalutara, Kalutara/ Beruwala, Kalutara/ Panadura, Kalutara/ Horana, Galle/ Galle, Galle/ Hikkaduwa, Galle/ Ambalangoda, Hambanthota/ Hambanthota, Hambanthota/ Tangalle, Matara/ Matara, Matara/ Weligama, Kandy/ Kandy, Kandy/ Gampola, Kandy/ Nawalapitiya, Kandy/ Kadugannawa, Kandy/ Wattegama, Matale/ Matale, Matale/ Dambulla, Nuwaraeliya/ Nuwaraeliya, Nuwaraeliya/ Hatton – Dickoya, Nuwaraeliya/ Thalawakele - Lindula, Jaffna/ Jaffna, Jaffna/ Chavakachcheri, Jaffna/ Valvettithurai, Jaffna/ Point Pedro, Vavuniya/ Vavuniya, Trincomalee/ Trincomalee, Trincomalee/ Kinniya, Kilinochchi/ Kilinochchi, Mulativu/ Mulativu, Mannar/ Mannar, Batticaloa/ Batticaloa, Batticaloa/ Kattankudy, Batticaloa/ Eravur, Anuradhapura/ Anuradhapura, Polonnaruwa/ Polonnaruwa, Badulla/ Badulla, Badulla/ Bandarawela, Badulla/ Haputale, Kurunegala/ Kurunegala, Kurunegala/ Kuliyapitiya, Puttalam/ Puttalam, Puttalam/ Chilaw, Ampara/ Ampara, Ampara/ Akkaraipattu, Ampara/ Kalmunai, Monaragala/ Monaragala, Kegalle/ Kegalle, Ratnapura/ Ratnapura, Ratnapura/ Balangoda, Ratnapura/ Embilipitiya
 Kandy/ Kandy,122.4,128.8,132.4,110.4,130.1,122.1,126.4,134.2,92.4,122.3,90.3,103.8,103.6,103.8,112,95,107.9,153.5,168.6,144.9,130.1,221.7,211.9,200.5,242.3,250.3,251.4,241.2,1,24.5,40,17,12.9,25.1,72.6,76.1,67.4,77,316.1,307.4,318.7,311.4,177.5,178.1,173.5,256.5,252.4,238.2,201.8,210.3,192,136.3,135,115.1,120.1,129.1,42.7,81.8,130.4,115.1,191.4,217.3,212.3,151.6,37.5,119.7,130.4,198.2
 Kandy/ Gampola,127,125.6,129.2,111.7,130.7,124.3,123.2,130.8,78.4,123.9,92.7,108.4,108.3,108.5,116.7,99.6,112.6,148.9,169.3,140.2,125.7,226.3,216.5,205.2,234.4,240,256.1,245.9,24.5,1,17.6,21.9,37.1,49.2,96.6,60.3,45,55.6,340.1,331.5,342.8,335.5,201.5,202.2,197.6,280.5,276.4,262.3,226,234.5,216.2,160.3,159.1,112.6,104.3,113.3,61.9,95.3,149.5,128.7,215.6,241.5,236.5,175.8,43.6,112.6,107.9,191.1
 Kandy/ Nawalapitiya,133.3,118,121.6,105.5,123.1,116.7,115.6,123.2,74.5,116.3,101.2,119.7,117.2,114.7,123.3,109.6,115.7,141.3,155.1,132.6,118.1,214.7,204.9,193.6,221.5,232.4,244.5,234.3,40,17.6,1,40.4,52.9,65.1,112.5,65.1,30.9,39.3,356,347.3,358.6,351.3,217.4,218,213.5,296.4,292.3,278.2,241.8,250.4,232.1,176.2,174.9,120.7,112.4,121.4,77.8,109.8,165.4,143.2,231.5,257.3,252.3,180.9,58.1,98.5,93.8,177
 Kandy/ Kadugannawa,108.2,114.6,118.2,96.2,115.9,107.9,112.2,120,78.2,108.2,76.2,89.6,88.5,89.6,97.9,80.8,93.7,139.3,154.4,130.7,116,207.5,197.7,186.3,239.7,236.1,237.2,227,17,21.9,40.4,1,30.6,41.4,88.8,73.8,64.9,74.7,342.7,323.6,345.3,327.6,193.7,194.3,189.7,272.7,268.6,254.5,219.5,228.1,209.8,157.6,151.2,126.1,117.8,126.8,48.5,76.5,136.7,109.8,209.2,235,230,169.4,24.8,106.9,127.9,185.4
 Kandy/ Wattegama,135.3,141.8,145.3,123.3,143,135.1,139.4,149.8,105.3,135.3,103.3,119.8,116.6,116.8,125.3,107.9,120.9,166.4,181.5,157.8,143.1,234.6,224.8,213.5,247.1,277.4,264.4,254.2,12.9,37.1,52.9,30.6,1,17,64.6,90.4,82.2,91.7,308.1,299.4,310.7,303.4,169.5,170.1,165.6,248.5,244.4,230.3,176.2,184.8,166.5,128.3,127.1,121.2,134.8,143.9,48.1,87.2,135.8,120.5,181.6,208.6,186.7,157.8,51.9,134.1,145.1,212.6
 Matale/ Matale,151,157.4,160.9,139,158.6,150.7,155,165.4,115.3,150.9,113.2,123.6,123.5,131.1,141,114.8,136.5,182.1,197.2,173.4,158.7,250.2,240.4,229.1,263.4,293.7,280,269.8,25.1,49.2,65.1,41.4,17,1,47.9,100.5,91.8,101.3,291.4,282.7,294,286.7,152.8,153.5,148.9,231.8,227.7,213.6,201.1,209.7,191.3,111.6,110.4,137.2,144.4,153.5,47.7,86.8,138.2,123.5,213.5,239.4,220.1,173.8,61.5,143.7,154.7,222.2
 Matale/ Dambulla,156,162.4,166,144,163.7,155.8,160.1,170.5,133.9,156,124,128,127.8,135.5,146,119.2,141.5,187.1,202.2,178.4,163.8,255.3,245.5,234.2,280.2,310.6,285.1,274.9,72.6,96.6,112.5,88.8,64.6,47.9,1,148.3,139.6,149.1,243.5,234.8,246.1,238.8,104.9,105.5,100.9,183.9,179.8,165.6,158.6,167.2,148.8,63.7,67.9,149,179,188.3,57.1,96.1,126.5,129.4,194.4,222.5,199.5,169.1,88.5,169.1,218.5,247.6
 Nuwaraeliya/ Nuwaraeliya,171.1,155.9,159.5,143.4,161,154.6,153.5,161.1,112.4,154.1,139.1,157.6,155,152.6,161.1,147.5,153.6,179.2,199.5,170.5,156,252.5,242.8,231.5,161,191.3,223,232.1,76.1,60.3,65.1,73.8,90.4,100.5,148.3,1,40.7,23.8,409,400.3,411.6,404.3,270.3,271,266.4,349.3,345.2,331.1,201.7,206.1,187.7,229.2,188.1,52.3,43.9,48.6,134.7,166.5,224.4,203.1,187.1,213,208,112.5,116.4,143.4,92.4,152.7
 Nuwaraeliya/ Hatton – Dickoya,132.6,116.9,120.4,104.4,122,115.6,114.5,122.1,73.4,115.1,100.1,118.6,116,113.5,122.1,108.5,114.5,140.1,153.9,131.5,117,213.6,203.8,192.4,171.1,180.4,212,233.1,67.4,45,30.9,64.9,82.2,91.8,139.6,40.7,1,18.1,383.1,374.4,385.7,378.4,244.4,245.1,241.9,323.5,319.3,305.2,233.8,242.4,224,203.3,202,91.6,83.2,92.3,104.8,127.4,213,164.1,223.4,249.3,245.5,151.8,85.1,107.5,64,119.7
 Nuwaraeliya/ Thalawakele - Lindula,148.3,133.1,136.6,120.6,138.2,131.8,130.7,138.3,89.6,131.3,116.3,134.8,132.2,129.7,138.3,124.7,130.7,156.3,170.1,147.7,133.2,229.8,220,208.6,183.4,197.3,245.3,249.3,77,55.6,39.3,74.7,91.7,101.3,149.1,23.8,18.1,1,394.2,381.2,396.8,389.5,255.6,256.2,253.1,334.6,330.5,316.4,221.4,228.1,207.4,214.4,207.8,74.9,66.6,71.2,111.9,143.7,203.6,180.4,206.8,232.6,228.8,135.1,93.6,123.8,81,136.7
