 , Colombo/ Colombo, Colombo/ Boralesgamauwa, Colombo/ Dehiwala – Mount Lavinia, Colombo/ Kaduwela, Colombo/ Kesbewa, Colombo/ Kolonnawa, Colombo/ Maharagama, Colombo/ Moratuwa, Colombo/ Avissawella (Seethawakapura), Colombo/Sri Jayawardenapura Kotte, Gampaha/ Gampaha, Gampaha/ Negombo, Gampaha/Katunayaka, Gampaha/Ja-Ela, Gampaha/ Wattala – Mabole, Gampaha/ Minuwangoda, Gampaha/ Peliyagoda, Kalutara/ Kalutara, Kalutara/ Beruwala, Kalutara/ Panadura, Kalutara/ Horana, Galle/ Galle, Galle/ Hikkaduwa, Galle/ Ambalangoda, Hambanthota/ Hambanthota, Hambanthota/ Tangalle, Matara/ Matara, Matara/ Weligama, Kandy/ Kandy, Kandy/ Gampola, Kandy/ Nawalapitiya, Kandy/ Kadugannawa, Kandy/ Wattegama, Matale/ Matale, Matale/ Dambulla, Nuwaraeliya/ Nuwaraeliya, Nuwaraeliya/ Hatton – Dickoya, Nuwaraeliya/ Thalawakele - Lindula, Jaffna/ Jaffna, Jaffna/ Chavakachcheri, Jaffna/ Valvettithurai, Jaffna/ Point Pedro, Vavuniya/ Vavuniya, Trincomalee/ Trincomalee, Trincomalee/ Kinniya, Kilinochchi/ Kilinochchi, Mulativu/ Mulativu, Mannar/ Mannar, Batticaloa/ Batticaloa, Batticaloa/ Kattankudy, Batticaloa/ Eravur, Anuradhapura/ Anuradhapura, Polonnaruwa/ Polonnaruwa, Badulla/ Badulla, Badulla/ Bandarawela, Badulla/ Haputale, Kurunegala/ Kurunegala, Kurunegala/ Kuliyapitiya, Puttalam/ Puttalam, Puttalam/ Chilaw, Ampara/ Ampara, Ampara/ Akkaraipattu, Ampara/ Kalmunai, Monaragala/ Monaragala, Kegalle/ Kegalle, Ratnapura/ Ratnapura, Ratnapura/ Balangoda, Ratnapura/ Embilipitiya
 Batticaloa/ Batticaloa,314.6,321,324.6,302.6,322.3,314.4,318.7,329.1,292.5,314.6,282.6,286.6,286.4,294.1,304.6,277.8,300.2,345.7,360.8,337.1,334.4,343.4,364.3,376.6,252,282.3,313.9,323.1,201.8,226,241.8,219.5,176.2,201.1,158.6,201.7,233.8,221.4,348.4,341.4,364.5,357.3,223.7,131.2,118.7,302.3,254.2,300.49,1,8.8,9.8,176.9,78.9,106,189.87,203.9,198,237.1,252.3,288,102.1,98.4,43.9,142.6,231.5,284.5,238,249
 Batticaloa/ Kattankudy,323.2,329.6,333.2,311.2,330.9,322.9,327.2,337.6,301.1,323.2,291.1,295.2,295,302.7,313.2,286.4,308.7,354.3,369.4,345.7,342.9,352,372.8,385.2,260.5,290.8,322.4,331.6,210.3,234.5,250.4,228.1,184.8,209.7,167.2,206.1,242.4,228.1,371.2,361.8,373.1,365.9,232.3,139.7,127.2,310.8,262.8,309.09,8.8,1,18.3,202.4,99.3,166,193.4,202.7,224.2,262.4,278.5,214,60.7,57.1,35.2,148.3,257.7,293.1,246.6,257.6
 Batticaloa/ Eravur,304.9,311.3,314.8,292.9,312.5,304.6,308.9,319.3,282.7,304.8,272.8,276.8,276.7,284.4,294.9,268,290.4,336,351.1,327.3,324.6,333.7,354.5,366.9,242.2,272.5,304.1,313.3,192,216.2,232.1,209.8,166.5,191.3,148.8,187.7,224,207.4,354,343.4,354.7,347.5,214,121.4,108.9,292.5,244.5,290.1,9.8,18.3,1,184.8,80.9,145,175.1,184.4,205.9,244.9,260.2,278.2,79.1,75.4,53.5,132.9,209.6,274.8,228.3,239.3
 Anuradhapura/ Anuradhapura,200.6,210.3,210.8,193.1,212.7,200.3,209.1,216,182.1,202.1,170.1,168.8,168.7,176.3,192.2,160,187.7,236.2,251.3,226.5,212,304.4,294.5,283.2,343.7,343.7,334.1,323.9,136.3,160.3,176.2,157.6,128.3,111.6,63.7,229.2,203.3,214.4,205,187.4,198.7,191.5,57.4,107.5,119.3,136.4,132.3,114.37,176.9,202.4,184.8,1,103.1,211.7,241.7,251,109.4,122.1,75.4,129.5,234.1,259.5,237.6,231.8,143.3,218.7,268.1,296.1
 Polonnaruwa/ Polonnaruwa,223.9,230.3,233.9,211.9,231.6,223.6,227.9,246.5,201.8,223.7,191.8,195.9,195.7,203.4,213.9,187.1,209.4,255,270.1,246.4,231.7,323.2,313.4,302,269.5,299.8,331.4,342.7,135,159.1,174.9,151.2,127.1,110.4,67.9,188.1,202,207.8,283.3,275,286.3,279.1,145,107.4,103.1,224,219.9,210.44,78.9,99.3,80.9,103.1,1,148.7,178.8,188.1,125,164,179.2,197.3,131,156.3,134.5,168.8,158.5,237,232,275.3
 Badulla/ Badulla,237.3,203.5,207,199.5,196.7,210.7,205.6,203.5,163.2,210.2,205.2,225.7,223.1,218.7,227.3,215.6,209.7,201.3,219,194.3,175.7,218.7,239.5,231.1,127.2,157.5,189.1,198.3,115.1,112.6,120.7,126.1,121.2,137.2,149,52.3,91.6,74.9,391.9,383.5,394.8,387.6,253.5,249,244.6,332.6,328.5,320.15,106,166,145,211.7,148.7,1,31.3,40.6,155.7,194.8,243.4,228.1,147.1,164.5,172.2,60.9,153.3,131,84.5,125.3
 Badulla/ Bandarawela,211,177.2,180.7,173.2,170.5,184.4,179.3,177.2,142.2,184,178.9,199.4,196.8,192.4,201,189.3,183.4,175,192.7,168,149.4,205.4,216.1,376.6,113.9,144.2,175.8,185,120.1,104.3,112.4,117.8,134.8,144.4,179,43.9,83.2,66.6,418.9,413.6,424.9,417.7,283.6,279,274.7,362.7,358.5,270,189.87,193.4,175.1,241.7,178.8,31.3,1,13.3,184.8,218.3,272.4,247.5,161.9,174.4,184.4,70.9,182.4,103.7,57.2,110.9
 Badulla/ Haputale,198.3,164.4,168,160.6,157.8,171.8,166.6,164.6,129.5,171.3,166.3,186.7,184.1,179.8,188.3,176.6,170.7,162.3,165.5,155.3,136.7,221.5,203.4,192.1,130,160.3,191.9,201.1,129.1,113.3,121.4,126.8,143.9,153.5,188.3,48.6,92.3,71.2,431.2,422.9,434.2,427,292.9,288.3,284,371.9,367.8,353.9,203.9,202.7,184.4,251,188.1,40.6,13.3,1,194.6,209,282.2,238.2,178,190.5,200.5,87,183.4,94.4,47.9,127.1
 Kurunegala/ Kurunegala,98.9,105.4,108.9,86.9,106.6,98.7,103,113.4,76.8,98.9,66.9,71.5,71.3,79,86.6,62.7,84.5,130.1,145.1,121.4,106.7,198.2,188.4,177.1,239.9,236.3,228,217.8,42.7,61.9,77.8,48.5,48.1,47.7,57.1,134.7,104.8,111.9,300.3,291.9,303.2,296,161.9,162.6,158.3,241,236.9,222.8,198,224.2,205.9,109.4,125,155.7,184.8,194.6,1,39,88.3,72.4,231.5,281.3,259.4,191.8,31.4,112,161.4,293.1
 Kurunegala/ Kuliyapitiya,81.5,92.1,89,76.7,96.4,81.2,92.8,103.2,72.9,88.4,53.7,47.2,50.4,58.9,65,43.7,78.1,119.8,134.9,110.3,105.1,200.5,190.7,177.9,241.9,238.3,230.3,220.1,81.8,95.3,109.8,76.5,87.2,86.8,96.1,166.5,127.4,143.7,316,307,318.3,311.1,177,201.7,197.3,256,251.9,242,237.1,262.4,244.9,122.1,164,194.8,218.3,209,39,1,87.1,34,281.1,319.4,297.6,230.6,54.5,114.3,163.7,192.8
 Puttalam/ Puttalam,135,144.7,145.2,141.9,161.5,134.8,157.9,168.3,161.2,141.1,124.4,101.7,107.1,118.4,126.6,109.5,130.8,185,200.1,176.4,173.6,253.2,243.4,232,329.9,311,282.9,272.7,130.4,149.5,165.4,136.7,135.8,138.2,126.5,224.4,213,203.6,260.3,222,248,240,130.3,180.7,192.5,209.3,205.2,122.6,252.3,278.5,260.2,75.4,179.2,243.4,272.4,282.2,88.3,87.1,1,57,309.5,334.8,312.9,290.7,121.7,197.1,246.5,349
 Puttalam/ Chilaw,79.8,89.5,90,86.7,106.4,79.6,102.7,98.8,104.2,85.9,69.2,46.5,51.9,63.2,71.4,54.4,75.6,123.1,136.9,107.8,118.4,198,188.2,176.8,271.2,255.9,227.7,217.5,115.1,128.7,143.2,109.8,120.5,123.5,129.4,203.1,164.1,180.4,285.2,277.5,326.6,319.4,185.3,235.7,230.6,264.3,260.2,178,288,214,278.2,129.5,197.3,228.1,247.5,238.2,72.4,34,57,1,315.2,353.2,331.3,264.7,88,143.8,193.2,293.9
 Ampara/ Ampara,313.1,392.5,355.8,397.4,357.8,345.4,394.5,327.5,283.1,313.1,281,303.2,303,294.5,303.1,294.3,298.6,340.1,354.5,333.1,314.5,298.7,319.5,331.9,207.2,237.6,269.2,278.3,191.4,215.6,231.5,209.2,181.6,213.5,194.4,187.1,223.4,206.8,414.3,406,417.3,410.1,276,217.1,204.6,355,350.9,338.1,102.1,60.7,79.1,234.1,131,147.1,161.9,178,231.5,281.1,309.5,315.2,1,28.3,27.1,92.2,232,269.6,202.9,205
 Ampara/ Akkaraipattu,338.9,405,408.5,409.9,398.2,362,343,405,309,338.9,306.9,342,341.9,320.4,329,333.2,324.5,352.6,367,345.6,327,311.2,332.1,344.4,219.8,250.1,281.7,290.9,217.3,241.5,257.3,235,208.6,239.4,222.5,213,249.3,232.6,426.8,418.8,430.1,422.9,289.3,196.8,184.3,367.9,319.8,365,98.4,57.1,75.4,259.5,156.3,164.5,174.4,190.5,281.3,319.4,334.8,353.2,28.3,1,22.9,101.8,256.9,279.2,212.5,214.6
 Ampara/ Kalmunai,362.1,371.8,368.3,354.6,366,361.8,350.4,372.8,324.2,358.3,314.3,319,318.8,326.5,336.4,310.2,331.9,362.6,377,355.6,337,321.2,342,354.4,229.7,260,291.7,300.8,212.3,236.5,252.3,230,186.7,220.1,199.5,208,245.5,228.8,406.5,396.9,408.2,401,267.4,174.9,162.4,346,297.9,341.5,43.9,35.2,53.5,237.6,134.5,172.2,184.4,200.5,259.4,297.6,312.9,331.3,27.1,22.9,1,114.9,230.1,292.3,225.6,227.8
 Monaragala/ Monaragala,285.1,301.5,304.9,306.3,294.7,258.5,253.4,301.5,216.3,258,241.3,263.4,263.2,254.8,263.3,254.6,257.5,249.1,263.5,242.1,223.5,207.7,228.5,240.9,116.2,146.6,178.2,187.3,151.6,175.8,180.9,169.4,157.8,173.8,169.1,112.5,151.8,135.1,412,403.6,414.9,407.7,273.7,250.7,238.3,352.7,348.6,334.5,142.6,148.3,132.9,231.8,168.8,60.9,70.9,87,191.8,230.6,290.7,264.7,92.2,101.8,114.9,1,191.1,177.8,111.1,113.3
 Kegalle/ Kegalle,84.8,91.3,94.8,72.8,92.5,84.6,88.9,96.6,54.8,84.8,52.8,66.2,65.1,66.3,74.5,57.4,70.4,99.8,131,107.3,92.6,184.1,174.3,163,216.4,212.8,213.9,203.7,37.5,43.6,58.1,24.8,51.9,61.5,88.5,116.4,85.1,93.6,333.8,325.4,336.7,329.5,195.5,196.2,191.8,274.5,270.4,256.3,231.5,257.7,209.6,143.3,158.5,153.3,182.4,183.4,31.4,54.5,121.7,88,232,256.9,230.1,191.1,1,89.1,138.8,167.9
 Ratnapura/ Ratnapura,107.6,77.3,80.9,69.9,70.7,81.1,74.9,77.4,38.9,77.7,75.6,96,93.4,89.1,96.1,85.9,80,75.2,92.6,68.2,49.6,140.4,130.6,124.9,127.3,123.7,155.3,159.9,119.7,112.6,98.5,106.9,134.1,143.7,169.1,143.4,107.5,123.8,410.9,402.6,413.9,406.6,272.6,274.7,270.3,351.6,347.5,333.4,284.5,293.1,274.8,218.7,237,131,103.7,94.4,112,114.3,197.1,143.8,269.6,279.2,292.3,177.8,89.1,1,49.7,78.8
 Ratnapura/ Balangoda,130.9,123.1,126.7,119.3,116.5,127.3,120.8,123.3,88.3,123.6,125,145.4,142.8,138.5,141.2,135.3,129.4,121,124.2,114.1,95.4,172,162.2,150.8,110.4,116.3,151.2,160.4,130.4,107.9,93.8,127.9,145.1,154.7,218.5,92.4,64,81,457.3,452,463.3,456,322,324.1,319.7,401,396.9,382.8,238,246.6,228.3,268.1,232,84.5,57.2,47.9,161.4,163.7,246.5,193.2,202.9,212.5,225.6,111.1,138.8,49.7,1,74.7
 Ratnapura/ Embilipitiya,186.1,203.6,164.4,208.5,196.9,159.6,205.7,152.4,117.3,159.1,154.1,174.5,171.9,167.6,176.1,164.4,158.5,150.1,165.7,143.1,124.5,106.8,130.7,143.1,52.3,39.2,74,77.8,198.2,191.1,177,185.4,212.6,222.2,247.6,152.7,119.7,136.7,591.4,583.1,594.4,587.2,453.1,357.2,344.7,532.2,528,481.6,249,257.6,239.3,296.1,275.3,125.3,110.9,127.1,293.1,192.8,349,293.9,205,214.6,227.8,113.3,167.9,78.8,74.7,1
