Building Types
Apartment building
Attached or row houses
Cultural buildings
Data centers
Day care centers for children
Educational buildings
Free – time residential buildings
Historic or protected monuments
Hospitals and healthcare centers
Hotels and similar buildings
Industrial production buildings
Office buildings
One dwelling buildings
Other buildings
Prisons
Retail and whole sale buildings
Schools (primary education)
Social welfare buildings
Sports halls
Transport buildings
Warehouses
